ribosome	chain	protein_name	family
4V6W	Chain A	Elongation factor 2	NO_PERFECT_MATCH_CHECK
4V6W	Chain B	Guanine nucleotide-binding protein subunit beta-like protein	NO_PERFECT_MATCH_CHECK
4V6W	Chain C	40S ribosomal protein S20	RPS20
4V6W	Chain D	40S ribosomal protein S10a	RPS10
4V6W	Chain E	40S ribosomal protein S14	RPS14
4V6W	Chain F	40S ribosomal protein S23	RPS23
4V6W	Chain G	40S ribosomal protein S12	RPS12
4V6W	Chain H	40S ribosomal protein S18	RPS18
4V6W	Chain I	40S ribosomal protein S29	RPS29
4V6W	Chain J	40S ribosomal protein S13	RPS13
4V6W	Chain K	40S ribosomal protein S11	RPS11
4V6W	Chain L	40S ribosomal protein S17	RPS17
4V6W	Chain M	40S ribosomal protein S15, isoform A	RPS15
4V6W	Chain N	40S ribosomal protein S19a	RPS19
4V6W	Chain O	40S ribosomal protein S3a	RPS3A
4V6W	Chain P	40S ribosomal protein SA	RPSA
4V6W	Chain Q	40S ribosomal protein S21	RPS21
4V6W	Chain R	40S ribosomal protein S24	RPS24
4V6W	Chain S	40S ribosomal protein S25	RPS25
4V6W	Chain T	40S ribosomal protein S26	RPS26
4V6W	Chain U	40S ribosomal protein S27	RPS27
4V6W	Chain V	40S ribosomal protein S28	RPS28
4V6W	Chain W	40S ribosomal protein S3	RPS3
4V6W	Chain X	40S ribosomal protein S30, isoform A	RPS30
4V6W	Chain Y	40S ribosomal protein S27a	RPS27A
4V6W	Chain Z	40S ribosomal protein S9	RPS9
4V6W	Chain AA	40S ribosomal protein S4	RPS4
4V6W	Chain BA	40S ribosomal protein S2	RPS2
4V6W	Chain CA	40S ribosomal protein S6	RPS6
4V6W	Chain DA	40S ribosomal protein S5a	RPS5
4V6W	Chain EA	40S ribosomal protein S7	RPS7
4V6W	Chain FA	40S ribosomal protein S15Aa	RPS15A
4V6W	Chain GA	40S ribosomal protein S8	RPS8
4V6W	Chain HA	40S ribosomal protein S16	RPS16
4V6W	Chain IA	Vig2, isoform B	NO_PERFECT_MATCH_CHECK
4V6W	Chain JA	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain KA	E-tRNA	NO_PERFECT_MATCH_CHECK
4V6W	Chain LA	60S ribosomal protein L10a-2	RPL10A
4V6W	Chain MA	60S acidic ribosomal protein P0	RPLP0
4V6W	Chain NA	60S ribosomal protein L12	RPL12
