species,accession,scientific name,taxid,lineage
Acanthamoeba castellanii str. Neff (GCA_000313135.1),GCA_000313135.1,Acanthamoeba castellanii str. Neff,1257118,cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba; Acanthamoeba castellanii
Acanthaster planci (Crown-of-thorns starfish) - GCA_001949145.1,GCA_001949145.1,Acanthaster planci,133434,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Valvatacea; Valvatida; Acanthasteridae; Acanthaster
Achlya hypogyna str. ATCC 48635 (GCA_002081595.1),GCA_002081595.1,Achlya hypogyna,1202772,cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Saprolegniales; Saprolegniaceae; Achlya
Acropora millepora (Stony coral JS-1) - GCA_013753865.1,GCA_013753865.1,Acropora millepora,45264,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Hexacorallia; Scleractinia; Astrocoeniina; Acroporidae; Acropora
Actinia tenebrosa (Australian red waratah sea anemone) - GCA_009602425.1,GCA_009602425.1,Actinia tenebrosa,6105,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria; Actiniidae; Actinia
Aedes aegypti (LVP_AGWG),GCA_002204515.1,Aedes aegypti,7159,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia
Aegilops tauschii,GCA_002575655.2,Aegilops tauschii subsp. strangulata,200361,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; commelinids; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Aegilops; Aegilops tauschii
Allomyces macrogynus ATCC 38327,GCA_000151295.1,Allomyces macrogynus ATCC 38327,578462,cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Blastocladiomycota; Blastocladiomycota incertae sedis; Blastocladiomycetes; Blastocladiales; Blastocladiaceae; Allomyces; Allomyces macrogynus
Amborella trichopoda,GCA_000471905.1,Amborella trichopoda,13333,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Amborellales; Amborellaceae; Amborella
Amphiamblys sp. WSBS2006,GCA_001875675.1,Amphiamblys sp. WSBS2006,1866961,cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Microsporidia; Microsporidia incertae sedis; Amphiacanthidae; Amphiamblys; unclassified Amphiamblys
Amphibalanus amphitrite (Acorn barnacle SeventyFive) - GCA_019059575.1,GCA_019059575.1,Amphibalanus amphitrite,1232801,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Thecostraca; Cirripedia; Thoracica; Thoracicalcarea; Balanomorpha; Balanoidea; Balanidae; Amphibalaninae; Amphibalanus
Amphimedon queenslandica,GCA_000090795.2,Amphimedon queenslandica,400682,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Haplosclerida; Niphatidae; Amphimedon
Anneissia japonica (Sea lily Jap-2015-1) - GCA_011630105.1,GCA_011630105.1,Anneissia japonica,1529436,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Pelmatozoa; Crinoidea; Articulata; Comatulida; Comatulidae; Comatulinae; Anneissia
Anolis carolinensis,GCA_000090745.2,Anolis carolinensis,28377,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Lepidosauria; Squamata; Bifurcata; Unidentata; Episquamata; Toxicofera; Iguania; Dactyloidae; Anolis
Anopheles gambiae,GCA_000005575.1,Anopheles gambiae str. PEST,180454,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Anophelinae; Anopheles; Cellia; Pyretophorus; gambiae species complex; Anopheles gambiae
Aphanomyces astaci str. APO3 (GCA_000520075.1),GCA_000520075.1,Aphanomyces astaci,112090,cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Saprolegniales; Saprolegniaceae; Aphanomyces
Apis mellifera (DH4),GCA_003254395.2,Apis mellifera,7460,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Anthophila; Apidae; Apinae; Apini; Apis
