source,target,weight
P33322,H__ACA_ribonucleoprotein_complex_subunit_DKC1,0.9820742637644047
P33322,Q9VTU0,0.0012804097311139564
P33322,Q9W3C0,0.0012804097311139564
P33322,Putative_RNA-binding_protein_Luc7-like_2,0.0012804097311139564
P33322,Histone-lysine_N-methyltransferase___H3_lysine-36_specific,0.002560819462227913
P33322,O44081,0.9769526248399488
P33322,RPL36,0.0012804097311139564
P33322,A8DYB0,0.0012804097311139564
P33322,Pre-mRNA-splicing_factor_38B,0.0012804097311139564
P33322,Metal-response_element-binding_transcription_factor_2,0.002560819462227913
P33322,Luc7-like_protein_3,0.0012804097311139564
P33322,Acyl-CoA_dehydrogenase_family_member_10,0.0012804097311139564
P33322,Q9VNX6,0.0012804097311139564
P33322,60S_ribosomal_protein_L36,0.0012804097311139564
P33322,Histone-lysine_N-methyltransferase_EZH2,0.002560819462227913
P33322,Q12499,0.002560819462227913
Ribonuclease_P_protein_subunit_p30,Nucleolar_transcription_factor_1,0.0021645021645021645
Ribonuclease_P_protein_subunit_p30,P38786,0.9978354978354979
Ribonuclease_P_protein_subunit_p30,SWI__SNF-related_matrix-associated_actin-dependent_regulator_of_chromatin_subfamily_E_member_1,0.0021645021645021645
Q9V9Z9,Probable_rRNA-processing_protein_EBP2,0.9909502262443439
Q9V9Z9,rRNA_2'-O-methyltransferase_fibrillarin,0.0022624434389140274
Q9V9Z9,Kinesin-like_protein_KIF20B,0.0022624434389140274
Q9V9Z9,P28007,0.0022624434389140274
Q9V9Z9,Q9VDT6,0.0022624434389140274
Q9V9Z9,Q9VNX6,0.0022624434389140274
Q9V9Z9,P15646,0.0022624434389140274
Q9V9Z9,pre-rRNA_2'-O-ribose_RNA_methyltransferase_FTSJ3,0.0022624434389140274
Q9V9Z9,Q9W1V3,0.0022624434389140274
ATP-dependent_RNA_helicase_DDX24,Q9Y580,0.0003
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX27,0.8305
ATP-dependent_RNA_helicase_DDX24,Eukaryotic_initiation_factor_4A-III,0.6969
ATP-dependent_RNA_helicase_DDX24,Probable_ATP-dependent_RNA_helicase_DDX31,0.811
ATP-dependent_RNA_helicase_DDX24,Q9W4Z9,0.0001
ATP-dependent_RNA_helicase_DDX24,Q9VRH6,0.0001
ATP-dependent_RNA_helicase_DDX24,ATP_synthase_subunit_alpha___mitochondrial,0.0001
ATP-dependent_RNA_helicase_DDX24,Paraspeckle_component_1,0.0001
ATP-dependent_RNA_helicase_DDX24,ATP_synthase_subunit_beta___mitochondrial,0.0001
