source,target,weight
Q9VLK2,Ribosomal_protein,0.5
Q9VE98,Q9W550,0.5017
Q9W550,Q9VE98,0.5017
Polycomb_protein_EED,Q9VE98,0.5019872813990461
Coatomer_subunit_beta',P35184,0.5026
Q9VPR4,Q9VUN7,0.5029
Q9VUN7,Q9VPR4,0.5029
Notchless_protein_homolog_1,Q9VUN7,0.5033
Q9VUN7,Notchless_protein_homolog_1,0.5033
A1Z8D0,Q04225,0.5035
Q7JQT9,Q9W550,0.5037
Q9W550,Q7JQT9,0.5037
Polycomb_protein_EED,Q9VKQ3,0.5038420773714891
Q5U0X8,Q9VKQ3,0.5053
Q9VKQ3,Q5U0X8,0.5053
Nucleolin,RNA-binding_protein_28,0.5056051990251827
E3_ubiquitin-protein_ligase_TRIM71,Transcription_intermediary_factor_1-beta,0.5061601642710473
U5_small_nuclear_ribonucleoprotein_40_kDa_protein,WD_repeat-containing_protein_18,0.5074
WD_repeat-containing_protein_18,U5_small_nuclear_ribonucleoprotein_40_kDa_protein,0.5074
A1Z7K2,Q9VFV8,0.5077452667814114
Polycomb_protein_EED,Q06506,0.5079491255961844
Heterogeneous_nuclear_ribonucleoproteins_C1__C2,Serine__arginine-rich_splicing_factor_1,0.5082539682539683
Q06506,WD_repeat-containing_protein_18,0.5090732910500352
Spectrin_beta_chain___non-erythrocytic_1,Spectrin_alpha_chain___non-erythrocytic_1,0.5098
Importin-5,Importin_subunit_beta-1,0.5098203092352696
P35184,WD_repeat-containing_protein_18,0.5101801096319499
Q06506,Q9VKQ3,0.5114517265680056
Q06506,P35184,0.5142706131078224
Paraspeckle_component_1,Polyadenylate-binding_protein_1,0.5149
Polyadenylate-binding_protein_1,Paraspeckle_component_1,0.5149
Paraspeckle_component_1,Polyadenylate-binding_protein,0.5159
Polyadenylate-binding_protein,Paraspeckle_component_1,0.5159
P35184,Q9VKQ3,0.5174236491777604
Spectrin_alpha_chain___non-erythrocytic_1,Filamin-A,0.5190025336711561
Heterogeneous_nuclear_ribonucleoproteins_C1__C2,Serine__arginine-rich_splicing_factor_5,0.5190476190476191
Q9W550,Receptor_of_activated_protein_C_kinase_1,0.5204
Receptor_of_activated_protein_C_kinase_1,Q9W550,0.5204
Zinc_finger_CCHC_domain-containing_protein_3,Q8T8R1,0.5209125475285171
